YEAR,TECHNOLOGY,MEAN,PERC_25,PERC_75
2013,ALK,1302,1212,1480
2014,ALK,1039,883,1160
2015,ALK,1203,983,1459
2016,ALK,1038,916,1156
2017,ALK,944,844,1000
2014,PEM,2094,1482,2604
2015,PEM,2180,1691,2755
2016,PEM,1549,1084,2000
2017,PEM,1331,1225,1450
